date,county_en,region,unleaded_95,unleaded_100,super,diesel_driving,autogas,diesel_home_heating
2022-01-04,GREVENA,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,1.779,1.952,,1.501,1.016,1.147
2022-01-04,DRAMA,ΝΟΜΟΣ ΔΡΑΜΑΣ,1.722,1.917,,1.443,0.991,1.098
2022-01-04,DODECANESE,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,1.897,2.024,1.537,1.608,1.148,1.198
2022-01-04,EVROS,ΝΟΜΟΣ ΕΒΡΟΥ,1.757,1.932,,1.479,1.045,1.131
2022-01-04,EUBOEA,ΝΟΜΟΣ ΕΥΒΟΙΑΣ,1.772,1.934,1.489,1.505,1.001,1.132
2022-01-04,EVRYTANIA,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ,1.848,2.042,,1.583,1.055,1.186
2022-01-04,ZAKYNTHOS,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.785,1.943,,1.504,,1.143
2022-01-04,ELIS,ΝΟΜΟΣ ΗΛΕΙΑΣ,1.749,1.917,,1.477,0.997,1.135
2022-01-04,IMATHIA,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.721,1.901,,1.46,0.957,1.104
2022-01-04,HERAKLEION,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,1.806,1.922,,1.532,1.082,1.178
2022-01-04,THESPROTIA,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,1.761,1.945,,1.498,1.015,1.16
2022-01-04,THESSALONIKI,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,1.707,1.889,1.429,1.444,0.981,1.111
2022-01-04,IOANNINA,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,1.75,1.911,,1.494,1.005,1.124
2022-01-04,KAVALA,ΝΟΜΟΣ ΚΑΒΑΛΑΣ,1.745,1.916,,1.477,1.02,1.128
2022-01-04,KARDITSA,ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ,1.754,1.953,,1.481,1.003,1.128
2022-01-04,KASTORIA,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,1.771,1.936,,1.493,0.996,1.144
2022-01-04,CORFU (KERKYRA),ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,1.798,1.957,,1.542,1.135,1.187
2022-01-04,KEFALONIA,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,1.821,1.985,,1.561,1.13,1.191
2022-01-04,KILKIS,ΝΟΜΟΣ ΚΙΛΚΙΣ,1.735,1.909,,1.469,1.022,1.128
2022-01-04,KOZANI,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.741,1.896,1.429,1.473,1.003,1.115
2022-01-04,CORINTHOS,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.751,1.925,,1.476,1.015,1.116
2022-01-04,CYCLADES,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,1.976,2.105,,1.695,1.138,1.316
2022-01-04,LACONIA,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,1.776,1.949,,1.504,1.057,1.149
2022-01-04,LARISSA,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,1.759,1.93,,1.487,1.005,1.134
