Name,TotalCases,Continent,NewCases 2,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population (2020),Med. Age,testing_mean_diff_pct,cases_rate_normalized,cases_rate_mean_diff_pct
USA,435167,North America,240,14797,9,22897,397473,9279,1315,45,2226116,6725,331002651,38,-7.66,19.55,80.48
Spain,152446,Europe,4226,15238,446,52165,85043,7371,3261,326,355000,7593,46754778,45,4.25,42.95,296.51
Italy,139422,Europe,,17669,,26491,95262,3693,2306,292,807125,13349,60461826,47,83.29,17.27,59.43
Germany,113296,Europe,,2349,,46300,64647,4895,1352,28,1317887,15730,83783942,46,115.98,8.6,-20.61
France,112950,Europe,,10869,,21254,80827,7148,1730,167,224254,3436,65273511,42,-52.82,50.35,364.83
Iran,66220,Asia,1634,4110,117,32309,29801,3918,788,49,231393,2755,83992949,32,-62.17,28.6,164.03
UK,60733,Europe,,7097,,135,53501,1559,895,105,282074,4155,67886011,40,-42.95,21.54,98.85
Turkey,38226,Asia,,812,,1846,35568,1492,453,10,247768,2938,84339067,32,-59.66,15.42,42.36
Belgium,24983,Europe,1580,2523,283,5164,17296,1285,2156,218,84248,7269,11589623,42,-0.19,29.66,173.82
Switzerland,23612,Europe,332,926,31,9800,12886,391,2728,107,178500,20625,8654622,43,183.19,13.23,22.14
Netherlands,21762,Europe,1213,2396,148,250,19116,1424,1270,140,101534,5926,17134872,43,-18.63,21.43,97.84
Canada,19438,North America,,435,8,4653,14350,518,515,12,370315,9812,37742154,41,34.72,5.25,-51.53
Brazil,16238,South America,50,823,3,173,15242,296,76,4,54824,258,212559417,33,-96.46,29.46,171.97
Portugal,13956,Europe,815,409,29,205,13342,241,1369,40,131127,12860,10196709,46,76.57,10.65,-1.68
Austria,13138,Europe,196,295,22,5240,7603,266,1459,33,126287,14022,9006398,43,92.53,10.41,-3.9
S. Korea,10423,Asia,39,204,4,6973,3246,55,203,4,477304,9310,51269185,44,27.83,2.18,-79.87
Russia,10131,Europe,1459,76,13,698,9357,8,69,0.5,1004719,6885,145934462,40,-5.47,1,-90.77
Israel,9755,Asia,351,79,6,864,8812,165,1127,9,117339,13557,8655535,30,86.14,8.31,-23.28
Sweden,9141,Europe,722,793,106,205,8143,719,905,79,54700,5416,10099265,41,-25.64,16.71,54.26
India,6237,Asia,321,186,8,569,5482,,5,0.1,167235,121,1380004385,28,-98.34,4.13,-61.87
Norway,6160,Europe,118,104,3,32,6024,78,1136,19,113896,21009,5421241,40,188.46,5.41,-50.06
Australia,6104,Australia/Oceania,52,51,1,2987,3066,81,239,2,330134,12946,25499884,38,77.75,1.85,-82.92
Ireland,6074,Europe,,235,,25,5814,165,1230,48,42484,8604,4937786,38,18.14,14.3,32.02
Denmark,5635,Europe,233,237,19,1736,3662,120,973,41,64002,11050,5792202,42,51.72,8.81,-18.67
Chile,5546,South America,,48,,1115,4383,362,290,3,60391,3159,19116201,35,-56.63,9.18,-15.25
Poland,5341,Europe,136,164,5,284,4893,160,141,4,107597,2843,37846611,42,-60.96,4.96,-54.21
Czechia,5335,Europe,23,104,5,243,4988,96,498,10,106845,9977,10708981,43,36.99,4.99,-53.93
Romania,5202,Europe,441,229,9,647,4326,178,270,12,51802,2693,19237691,43,-63.02,10.03,-7.4
Japan,4667,Asia,,94,,632,3941,99,37,0.7,61498,486,126476461,48,-93.33,7.61,-29.75
Pakistan,4457,Asia,194,63,2,572,3822,31,20,0.3,44896,203,220892340,23,-97.21,9.85,-9.07
Ecuador,4450,South America,,242,,140,4068,146,252,14,14406,817,17643054,28,-88.78,30.84,184.71
Peru,4342,South America,,121,,1333,2888,113,132,4,39599,1201,32971854,31,-83.51,10.99,1.46
Malaysia,4228,Asia,109,67,2,1608,2553,72,131,2,63367,1958,32365999,30,-73.12,6.69,-38.24
Philippines,4076,Asia,206,203,21,124,3749,1,37,2,24500,224,109581078,26,-96.92,16.52,52.51
